pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
8.59999999999999,2.51188643150966E-09,3.98107170553484E-06,5.97137378475179E-18,2.65415170711366E-09,0.012703568766141,0.986110862561061,0.001185566018647,1.98876004394317,19.8876004394316
8.69999999999999,1.99526231496895E-09,5.01187233627255E-06,4.73229388789154E-18,1.67852684880117E-09,0.010114124432283,0.988389885260514,0.001495988628677,1.9917321380248,19.917321380248
8.79999999999999,1.58489319246117E-09,6.30957344480171E-06,3.75263127000079E-18,1.06087473537856E-09,0.008047557841732,0.99006590939884,0.001886531698554,1.99428017012747,19.9428017012747
8.89999999999998,1.25892541179421E-09,7.94328234724253E-06,2.97734329368523E-18,6.70148558011744E-10,0.006399869044342,0.991222353473929,0.002377776811581,1.99653357276201,19.9653357276201
8.99999999999998,1.00000000000004E-09,9.99999999999963E-06,2.36333091851003E-18,4.23131603013329E-10,0.005087160774656,0.991917296456283,0.00299554234593,1.99860817155608,19.9860817155608
9.09999999999998,7.94328234724311E-10,1.25892541179412E-05,1.87675237075826E-18,2.67050273353237E-10,0.004041969451317,0.992185844907501,0.003772185374132,2.00061148455048,20.0061148455048
9.19999999999998,6.30957344480218E-10,1.58489319246105E-05,1.49097414718652E-18,1.68472836115222E-10,0.003210183712614,0.992041606462025,0.004748209656888,2.00264782631052,20.0264782631052
9.29999999999998,5.01187233627292E-10,1.9952623149688E-05,1.18499696462971E-18,1.0623870350484E-10,0.002548488992414,0.991477269569807,0.005974241331541,2.0048233630273,20.048233630273
9.39999999999998,3.98107170553513E-10,2.51188643150948E-05,9.42239219421929E-19,6.69636045151428E-11,0.002022268526598,0.990464291403182,0.007513440003256,2.00725128538896,20.0725128538896
9.49999999999998,3.16227766016851E-10,3.16227766016825E-05,7.4959196361103E-19,4.21866537220469E-11,0.001603891841137,0.988951692771377,0.0094444153453,2.01005727600408,20.1005727600408
9.59999999999998,2.51188643150968E-10,3.98107170553481E-05,5.96681690790333E-19,2.65617869112432E-11,0.001271327052158,0.986863958529819,0.011864714391461,2.01338544870634,20.1338544870634
9.69999999999998,1.99526231496896E-10,5.01187233627251E-05,4.75293229231326E-19,1.67123827118055E-11,0.001007020640914,0.984098052572029,0.014894926770345,2.01740492585647,20.1740492585647
9.79999999999998,1.58489319246118E-10,6.30957344480166E-05,3.78916682117051E-19,1.05064566787949E-11,0.000796996242955,0.980519588162174,0.018683415584365,2.02231719079758,20.2231719079758
9.89999999999998,1.25892541179422E-10,7.94328234724246E-05,3.02390926584285E-19,6.59828764542315E-12,0.000630131578182,0.975958260389117,0.023411608026103,2.02836429579061,20.2836429579061
9.99999999999998,1.00000000000005E-10,9.99999999999955E-05,2.41622565820306E-19,4.13868628786863E-12,0.000497579532994,0.970202765359021,0.029299655103846,2.03583790643317,20.3583790643317
10.1,7.94328234724318E-11,0.000125892541179,1.93364029268141E-19,2.59193623304331E-12,0.000392305424075,0.96299562214892,0.036612072424413,2.04508900297323,20.4508900297323
10.2,6.30957344480223E-11,0.000158489319246,1.55038159670153E-19,1.62017301860009E-12,0.000308717604325,0.954028602580885,0.045662679813171,2.05653781650095,20.5653781650095
10.3,5.01187233627296E-11,0.000199526231497,1.2459941285513E-19,1.01037828585764E-12,0.000242372869278,0.942939880708446,0.056817746421266,2.07068323781172,20.7068323781172
10.4,3.98107170553516E-11,0.000251188643151,1.00423942530788E-19,6.28293740097733E-13,0.000189741676133,0.929314541212043,0.070495717111196,2.088110501205,20.88110501205
10.5,3.16227766016853E-11,0.000316227766017,8.12225046183146E-20,3.89335157174628E-13,0.000148021098373,0.912690694265784,0.087161284635454,2.10949545995617,21.0949545995617
10.6,2.51188643150971E-11,0.000398107170553,6.59714091551694E-20,2.4023940260751E-13,0.00011498580745,0.892574014859402,0.107310999332908,2.13560336037249,21.3560336037249
10.7,1.99526231496898E-11,0.000501187233627,5.38577582734948E-20,1.47486315841578E-13,8.88692934251289E-05,0.868463813350751,0.131447317355677,2.1672799386829,21.672799386829
10.8,1.5848931924612E-11,0.00063095734448,4.4236000705285E-20,8.99961940967227E-14,6.82690946797441E-05,0.839893351961186,0.160038378944044,2.20543331943781,22.0543331943781
10.9,1.25892541179423E-11,0.000794328234724,3.65934555712268E-20,5.45251134068371E-14,5.20710790555047E-05,0.806485526058671,0.193462402862219,2.25100712778809,22.5100712778809
11,1.00000000000005E-11,0.001,3.05229482614775E-20,3.276223487435E-14,3.93888697880112E-05,0.768021750467225,0.231938860662954,2.3049489606693,23.049489606693
11.1,7.94328234724324E-12,0.001258925411794,2.57010877880466E-20,1.95006233884175E-14,2.95153878810559E-05,0.72451685781526,0.275453626796839,2.36818405224512,23.6818405224512
11.2,6.30957344480228E-12,0.001584893192461,2.18710203556169E-20,1.14849988279806E-14,2.18842141125698E-05,0.676286869162201,0.323691246623675,2.44161094725244,24.4161094725244
11.3,5.011872336273E-12,0.001995262314969,1.88287353884095E-20,6.68619206667135E-15,1.60390576324173E-05,0.623991750217507,0.375992210724854,2.52614245547497,25.2614245547497
11.4,3.9810717055352E-12,0.002511886431509,1.64121913978837E-20,3.8444430069324E-15,1.16100322727723E-05,0.568634789938768,0.431353600028956,2.62281853415113,26.2281853415113
11.5,3.16227766016856E-12,0.003162277660168,1.44926804832945E-20,2.18198259722488E-15,8.2956664642085E-06,0.511506647894058,0.488485056439475,2.73301620441796,27.3301620441796
11.6,2.51188643150973E-12,0.003981071705535,1.29679702551551E-20,1.2221597993189E-15,5.84962457580989E-06,0.45407542103325,0.545918729342173,2.85877640331376,28.5877640331376
11.7,1.995262314969E-12,0.005011872336272,1.17568571197229E-20,6.75629742401041E-16,4.07107177920672E-06,0.397840287182337,0.602155641745883,3.00326499478671,30.0326499478671
11.8,1.58489319246121E-12,0.006309573444802,1.07948403343305E-20,3.68793940645401E-16,2.79758813180229E-06,0.34417853121515,0.655818671196718,3.1713961126739,31.713961126739
11.9,1.25892541179424E-12,0.007943282347242,1.00306861251151E-20,1.98915835874222E-16,1.89963148502128E-06,0.294218081381017,0.705780018987498,3.37068528590949,33.7068528590949
12,1.00000000000006E-12,0.009999999999999,9.4236986818058E-21,1.06115447210857E-16,1.27578828145127E-06,0.24875888910222,0.751239835109498,3.61248728803893,36.1248728803893
12.1,7.94328234724331E-13,0.012589254117941,8.94155256628013E-21,5.60514776278803E-17,8.48373444551434E-07,0.208250985817069,0.791748165809486,3.91394672215522,39.1394672215522
12.2,6.30957344480233E-13,0.01584893192461,8.55857101831061E-21,2.93493671564564E-17,5.59240662137049E-07,0.172821886387789,0.827177554371549,4.30134004723497,43.0134004723497
12.3,5.01187233627304E-13,0.019952623149688,8.25435841873272E-21,1.52516446213113E-17,3.65861471867859E-07,0.142336629370643,0.857663004767885,4.81626500210112,48.1626500210112
12.4,3.98107170553523E-13,0.025118864315094,8.01271405009916E-21,7.87445228339962E-18,2.37804657204747E-07,0.116471684246052,0.883528077949291,5.5280559222232,55.280559222232
