C_b =,,pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
1.00E-14,,3.17388225824501,0.000670066246728,1.49238975233066E-11,5.7004553692056E-09,0.052776875495892,0.946947569568739,0.000275554934127,1.24191093260466E-12,0.907911757747251,9.07911757747251
,,3.27388225824501,0.000532252538912,1.87880738351027E-11,3.55795917685027E-09,0.042379152212488,0.957270163115821,0.000350684669701,1.98975240916299E-12,0.92642797023628,9.2642797023628
,,3.37388225824501,0.000422783219662,2.36527835896759E-11,2.22555715069316E-09,0.033955839657382,0.965598833376768,0.000445326962669,3.18098227297216E-12,0.941370371767176,9.41370371767176
,,3.47388225824501,0.000335828648545,2.9777090320711E-11,1.39458673362776E-09,0.027158619823514,0.972276869427155,0.000564510744255,5.07638404491738E-12,0.953412627534305,9.53412627534305
,,3.57388225824501,0.000266758177568,3.74871356940333E-11,8.75138307780129E-10,0.021690847972341,0.977594588160327,0.000714563859242,8.08953028441767E-12,0.963116616924894,9.63116616924894
,,3.67388225824501,0.000211893552286,4.71935077405947E-11,5.49813745355793E-10,0.017303646421348,0.981792907671151,0.000903445894624,1.28761019593284E-11,0.970947749026364,9.70947749026364
,,3.77388225824501,0.000168313031337,5.94131061663394E-11,3.45755566829719E-10,0.013790628015099,0.985068206656021,0.001141165308405,2.04753257011996E-11,0.977289982923492,9.77289982923493
,,3.87388225824501,0.000133695793063,7.47966691464294E-11,2.1760270652432E-10,0.010982189479912,0.987577508868189,0.001440301619365,3.2533868520841E-11,0.982459819578743,9.82459819578743
,,3.97388225824501,0.000106198343294,9.41634275060007E-11,1.3703910984888E-10,0.008739944932579,0.989443396860559,0.001816658155201,5.16601271830228E-11,0.986718922649733,9.86718922649733
,,4.07388225824501,8.43563425591812E-05,1.18544731748942E-10,8.63510770373319E-11,0.006951611075407,0.990758312380716,0.002290076461892,8.19845922799637E-11,0.990285287074585,9.90285287074585
,,4.17388225824501,6.70066246728312E-05,1.49238975233066E-10,5.44382546637884E-11,0.005526485467775,0.991588064430546,0.002885449971633,1.30045643225784E-10,0.993343036834306,9.93343036834306
,,4.27388225824501,5.32252538912026E-05,1.87880738351027E-10,3.43348370903044E-11,0.004391554068685,0.991974463902341,0.003633981822786,2.06188770467197E-10,0.996051026049842,9.96051026049842
,,4.37388225824501,4.22783219661507E-05,2.36527835896758E-10,2.16646346126797E-11,0.003488203845037,0.991937056286612,0.004574739541576,3.26774855445657E-10,0.998550464059833,9.98550464059833
,,4.47388225824501,3.35828648544773E-05,2.9777090320711E-10,1.36758452126443E-11,0.002769485199679,0.991473947264771,0.005756567017889,5.17661448617153E-10,1.0009718024723,10.009718024723
,,4.57388225824501,2.66758177568411E-05,3.74871356940331E-10,8.63682145550258E-12,0.002197856246841,0.990561722255568,0.007240420677907,8.19683245776838E-10,1.00344112156289,10.0344112156289
,,4.67388225824501,2.11893552286182E-05,4.71935077405944E-10,5.45721884413603E-12,0.001743339037513,0.989154459712521,0.009102199952702,1.29726478743811E-09,1.00608624090562,10.0608624090562
,,4.77388225824501,1.68313031336941E-05,5.9413106166339E-10,3.45015278087407E-12,0.001382021814434,0.987181837414185,0.011436138719455,2.05192589820555E-09,1.00904275650868,10.0904275650868
,,4.87388225824501,1.33695793062965E-05,7.47966691464288E-10,2.18272650261504E-12,0.001094848187131,0.984546339519879,0.014358809049588,3.24340123939474E-09,1.01246017168955,10.1246017168955
,,4.97388225824501,1.06198343293768E-05,9.4163427506E-10,1.38201746651825E-12,0.000866641922194,0.981119599690927,0.018013753264326,5.12255309021299E-09,1.01650823503377,10.1650823503377
,,5.07388225824501,8.43563425591819E-06,1.18544731748941E-09,8.75905816658842E-13,0.000685323800903,0.976737974912749,0.022576693203906,8.08244186669076E-09,1.02138351505774,10.2138351505774
,,5.17388225824501,6.70066246728318E-06,1.49238975233065E-09,5.55811981070727E-13,0.000541284163596,0.97119755261582,0.028261150483439,1.27371450867313E-08,1.0273161116367,10.273161116367
,,5.27388225824501,5.3225253891203E-06,1.87880738351025E-09,3.53220823918722E-13,0.000426881099049,0.964248971449846,0.035324127408521,2.00425834618131E-08,1.03457620792191,10.3457620792191
,,5.37388225824501,4.2278321966151E-06,2.36527835896756E-09,2.24886122635126E-13,0.00033603968476,0.955592707607572,0.044071221227478,3.14801898884961E-08,1.04347987926009,10.4347987926009
,,5.47388225824501,3.35828648544776E-06,2.97770903207107E-09,1.4350291643128E-13,0.000263932272956,0.944875865408341,0.054860152985505,4.93331983760174E-08,1.05439317579336,10.5439317579336
